year,hospital,state,breach_type,location,desc,technical_control,process_control,people_control,insider,third_party,hacking,theft_loss,unintended_disclosure,discover_days,num_patients,cost_free_credit,hipaa,hippa_fee,court_case,court_fee,remediation
2018,AdventHealth Rollins Brook Hospital,TX,Loss,Paper/Films,Couldn’t find information,0,1,1,1,0,0,1,1,0.0,5000.0,0.0,1.0,0.0,0.0,0.0,1.0
2011,Adventist Behavioral Health,MD,PHYS,Other,"Altamonte Springs, Fla.-based Adventist Health System/Sunbelt has been 
 slammed by a class action lawsuit for allegedly failing to safeguard the
 protected health information of more than 763,000 patients in its 
 electronic database, according to a Health IT Security report. 
 
 Richard
 Fairdoth, a former patient of the health system that operates as 
 Florida Hospital in 22 locations throughout the state, filed his 
 complaint in the Orlando Division of the U.S. District Court for the 
 Middle District of Florida. 
 
 According to the complaint, 
 Adventist allegedly failed to prevent emergency room workers from 
 selling access to the patient data. Dale Munroe, a former employee, 
 allegedly began receiving payments from outside sources for patient data
 in 2009. He was fired after the health system became aware of the 
 scheme in 2011.",0,1,1,1,0,0,1,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Advocate Health and Hospitals Corporation,IL,Theft,Laptop,"In the largest HIPAA enforcement settlement to date, federal regulators have smacked Chicago-based Advocate Health Care with a $5.55 million fine in the wake of an investigation into three 2013 breaches. The largest incident, involving four stolen unencrypted computers, affected about 4 million individuals.
 
 See Also: Webinar | The Future of Adaptive Authentication in Financial Services
 
 ""This significant settlement, the largest to-date against a single entity, is a result of the extent and duration of the alleged noncompliance - dating back to the inception of the [HIPAA] Security Rule in some instances - the involvement of the state attorney general in a corresponding investigation, and the large number of individuals whose information was affected by Advocate, one of the largest health systems in the country,"" the Department of Health and Human Services' Office for Civil Rights says in an Aug. 4 statement.
 
 OCR Director Jocelyn Samuels notes: ""We hope this settlement sends a strong message to covered entities that they must engage in a comprehensive risk analysis and risk management to ensure that individuals' ePHI is secure. This includes implementing physical, technical and administrative security measures sufficient to reduce the risks to ePHI in all physical locations and on all portable devices to a reasonable and appropriate level.""
 
 OCR says its latest enforcement action, which includes a detailed corrective action plan, follows its investigation launched after Advocate, which operates 12 hospitals and numerous clinics, submitted three breach notification reports pertaining to separate incidents involving its subsidiary, Advocate Medical Group.
 Reasons for Big Fine
 
 Privacy attorney Kirk Nahra of the law firm Wiley Rein says that while the settlement appears to focus on compliance issues, such as failure to conduct risk analysis, that are frequently highlighted by the enforcement agency, the OCR breach investigations likely uncovered egregious violations.
 
 ""OCR is - and has been historically - both reasonable and knowledgeable,"" he says. ""They seem to know when people are trying hard and when they are not. Going through their cases - and I don't see anything here to indicate this [Advocate case] is different - 'extent and duration' matters a lot, as does not fixing existing problems.""
 
 Privacy attorney David Holtzman, vice president of compliance at the security consultancy CynergisTek, says every OCR resolution agreement is a negotiated settlement in which any number of factors can influence the outcome. ""A significant factor in the size of the payment to settle the allegations with OCR is the length of time in which OCR found that Advocate had not met the requirements of the HIPAA Security Rule, as well as their apparent ample financial resources allowing them to absorb the cost of such a penalty,"" he says.
 
 ""What I see as important are the allegations that Advocate health system had not met the HIPAA Security Rule requirements established in 2005 to perform an enterprisewide information security risk assessment or put into place a program designed to reasonably safeguard protected health information across its organization,"" Holtzman says.
 
 Privacy attorney Adam Greene of the law firm Davis Wright Tremaine says the settlement offers important lessons: ""The top three takeaways for me from this settlement are: The bigger the entity, the bigger the settlement, with OCR steadily increasing the settlement amount it is seeking to impose on large covered entities; covered entities have had over a decade to come into compliance with the HIPAA Security Rule; ... and OCR continues to focus on the importance of a risk analysis.""
 OCR's 10th Settlement This Year
 
 The settlement with Advocate is OCR's tenth enforcement action so far in 2016, keeping the agency on a roll in issuing a record number of HIPAA enforcement actions (see 2016 Watershed Year for HIPAA Enforcement).
 
 This latest fine brings the total penalties levied by OCR this year to about $20.5 million, more than in any previous year.
 
 ""At this point, we have a record number of settlements in 2016, and a record-breaking settlement amount, with over four months remaining in the year,"" Greene notes. ""I expect that we will continue to see an increased number of settlements over the coming years, although there may be a lull in the beginning of 2017 as the administration changes.""
 
 Nahra adds: ""You could certainly read into the last few months of HIPAA activity and say both that the pace of enforcement is increasing and that OCR is being less tolerant of significant violations. I don't see any overall change at the biggest picture level - they still tend to be reasonable, and appreciate strong efforts at compliance, even if something doesn't work.""
 
 The message to HIPAA covered entities and business associates from the latest enforcement activities, Nahra says, is: ""OCR is out there, is active, and can tell if you aren't doing a good job. It makes sense to re-evaluate and re-examine your compliance approach, even if you haven't had real problems before.""
 The Three Breaches
 
 The three Advocate breaches exposed a variety of demographic, clinical and health insurance information, as well as credit card numbers. The largest of the incidents involved the theft of four unencrypted computers in July 2013 from an office of Advocate Medical Group in Illinois.
 
 OCR notes that the two other breaches reported in 2013 leading to the settlement included:
 
  A breach involving Blackhawk Consulting Group, a business associate which provides billing services to Advocate. Advocate reported that the ePHI of 2,027 patients had been potentially compromised when an unauthorized third party accessed Blackhawk's network.
  The theft of an unencrypted laptop containing the ePHI of approximately 2,237 individuals from an Advocate workforce member's vehicle.
 
 OCR says the investigations into the three incidents revealed that Advocate failed to:
 
  Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to all of its ePHI;
  Implement policies and procedures and facility access controls to limit physical access to the electronic information systems housed within a large data support center;
  Obtain satisfactory assurances in the form of a written business associate contract that its business associate would appropriately safeguard all ePHI in its possession;
  Reasonably safeguard an unencrypted laptop when left in an unlocked vehicle overnight.
 
 Corrective Actions Mandated
 
 As part of the resolution agreement, Advocate has agreed to a corrective action plan that calls for:
 
  Conducting a comprehensive and thorough risk analysis and implementing a risk management plan;
  Implementing processes for evaluating environmental and operational changes that affect the security of ePHI in Advocate's possession or control;
  Developing a report on its encryption status;
  Revising policies and procedures on device and media controls as well as limiting physical access to all of its electronic information;
  Revising policies and procedures related to business associates; and
  Developing an enhanced privacy and security awareness training program.
 
 In a statement provided to Information Security Media Group, Advocate says: ""Protecting the privacy and confidentiality of our patients while delivering the highest level of care and service are our top priorities. As all industries deal with the ever-evolving digital landscape and the impact it has on security, we've enhanced our data encryption measures to prevent this type of incident from reoccurring. While there continues to be no indication that the information was misused, we deeply regret any inconvenience this incident has caused our patients. We continue to cooperate fully with the government to advance our patient privacy protection efforts.""
 
 While OCR hit Advocate hard in its enforcement action, an Illinois appellate court in August 2015 upheld the dismissal of two breach-related lawsuits filed against the health system (see Advocate Health Ruling: The Impact) .",0,1,1,0,1,0,1,0,30.0,4264.0,0.0,1.0,0.0,0.0,0.0,1.0
2013,"Advocate Health Care , Advocate Medical Group",IL,STAT,Other,"Personal information for more than 4 million patients of Advocate Medical Group may be at risk after four computers were stolen in a July 15 burglary of an administrative building in Park Ridge, Advocate said Friday.
 
 The information includes names, addresses, Social Security numbers and dates of birth, but no medical records or personal financial information, of patients seen by doctors affiliated with the medical group from the early 1990s through July, said Kelly Jo Golson, senior vice president and chief marketing officer at Downers Grove-based Advocate Health Care.
 
 Advocate on Friday afternoon began sending letters to the patients affected, a process that will continue through Sept. 9, Golson said. Advocate is offering a free year of credit monitoring services to those whose information may have been exposed.
 
 Advocate Medical Group is the region’s largest physician group with more than 1,000 doctors and 200 locations, mostly in and around Chicagoland and Central Illinois. It is part of Advocate Health Care, the region’s largest hospital chain with 12 hospitals, including Advocate Christ Hospital in Oak Lawn and Advocate Lutheran General Hospital in Park Ridge. Only patients of the medical group were affected, Golson said.
 
 While the desktop computers were password protected, they were not encrypted, Golson said.
 
 ""Nothing leads us to believe the computers were taken for the information they contain, and there is no information to suggest any of that data has been used in an inappropriate way,"" Golson said. ""We want our patients to know that security is a top priority, and we’re focused right now on putting together resources to make sure we can help answer any questions.""
 
 Paul Stephens, director of policy and advocacy at nonprofit Privacy Rights Clearinghouse, an advocate for consumers' privacy rights, called the incident ""a very significant breach."" The information could be used to open credit cards or even open cell phone accounts in the names of those patients, he said.
 
 ""Password protection is worthless,"" said Stephens, who said simply removing a hard drive and attaching it to another device would surmount that obstacle.
 
 Stephens said affected patients may want to place a fraud alert on their credit report by contacting any one of the three major credit reporting agencies. The alerts expire after 90 days but can be renewed.
 
 Any fraudulent activity, he said, could take up to a month to surface on a credit report, but credit inquiries would surface right away. Patients should immediately order a free credit report from all three credit agencies, Stephens said.
 
 Such information can be sold to an underground market of identity thieves in Europe, Stephens said, and may not be used for months or years.
 
 The incident occurred in the early morning hours of July 15 at Advocate’s 70,000 square-foot administrative offices on West Touhy Ave. The building was not equipped with an alarm, but it had a security camera and a panic button, Golson said. Advocate has since installed continuous security staffing at the office and is re-evaluating its security systems and practices systemwide.
 
 Advocate informed the Park Ridge Police Department immediately, and Golson said it continues to work with investigators. The computers have not been recovered. Park Ridge Police officials did not return a call seeking comment.
 
 When asked why patients weren’t notified until more than a month after the computers were stolen, Golson said Advocate officials had to determine the extent of the data potentially exposed.
 
 ""There was a large volum“e data on the computers and the format of the data was very complex,"" Golson said. ""We were very comprehensive and thorough in our analysis of the data to ensure we were notifying every patient who may be affected.""
 
 The Illinois Attorney General's Office is looking into the matter, but has yet to determine whether it will take any legal action, a spokeswoman said.
 
 Craig Spiezle, executive director of Online Trust Alliance, a nonprofit advocacy group, said companies should have data response plans in place to prevent such lag times. Such plans, he said, ensure that if a breach occurs, a company can act immediately because it knows exactly which data is stored where at all times.
 
 That lag time also means any potential identity thieves have had a five-week window to use the data, said Stephens at the privacy rights advocacy group. Credit monitoring would not identify breaches that occurred in the past but that information would surface on a credit report, Stephens said.
 
 After the extent of the information potentially exposed became clear, Advocate notified the federal Health and Human Services Department and its Office of Human Rights, the Illinois Attorney General, some insurance companies and a handful of elected officials.
 
 Worldwide, 2,644 data breaches were reported in 2012, more than double the 2011 figure, according to the Online Trust Alliance.
 
 In Illinois last year, at least 31 institutions reported data breaches, up by about 30 percent from the prior year and on par with 2010, according to a Tribune analysis of records complied by the nonprofit Privacy Rights Clearinghouse. So far this year, at least 10 breaches have been reported in the state, including an April hacking incident at Morningstar Document Research that may have compromised certain data for 182,000 customers. Morningstar notified clients of the breach in July.
 
 Data breaches are increasingly common and under-reported by as much as 50 percent, said Spiezle.
 
 ""People seem to think this is something just happens online where someone hacks in and gets the data. We’re seeing more and more instances where it's -– the employee’s computer was stolen from a car. Physical theft,” he said.
 
 Advocate has set up temporary call centers to handle patient inquiries, as well as a web site that went live Friday afternoon, www.patientnotice.org.
 
 The Illinois Attorney General’s office said consumers whose data may have been compromised should call its identity theft hotline at 866-999-5630.",1,1,0,0,1,0,1,0,40.0,4000000.0,0.0,1.0,0.0,0.0,0.0,1.0
2010,Advocate Health Care,IL,Theft,Laptop,"Advocate Data Breach – Different Year, Same Encryption Problems
 In many respects, it has been The Summer of The Data Breach. HHS brought down the hammer on Wellpoint, fining the insurer $1.7 million after discovering the impermissible disclosure of over 600,000 patient records through an unsecured online application. A couple of weeks later OHSU reported a breach of over 3,000 patient records when hospital officials learned that providers were using Google Drive to share patient records in the cloud. Finally, just two weeks ago in the event that sent shock waves through both covered entities and business associates, OCR and Affinity reached a $1.2 million settlement after the health plan failed to delete over 300,000 patient records off a digital photocopier it had leased in 2010. A subsequent lessee, CBS, noticed a large amount of leftover sensitive data.
 An Unfortunate Healthcare Breach
 So, in what can only be described as a suitable event to close out the summer, this Labor Day weekend punctuated this series of noteworthy PHI events with the discovery that Advocate Health lost more than 4 million patient records after a thief stole four computers from the largest Illinois medical group. In an all too familiar fact pattern, the laptops were not encrypted and left every data record vulnerable to compromise.
 While the number of compromised patient records is staggering, the biggest shocker of all was that Advocate has dealt with this exact problem in the past. In a 2009 laptop theft, Advocate landed itself on the OCR “Wall of Shame” for the breach which caused 812 patient records to walk out of the door with their thief. In a settlement with federal regulators stemming from this first incident, Advocate agreed to launch an encryption program to protect all future mobile devices from third party access even if stolen. An Advocate spokeswoman indicated that this encryption program had not yet reached the four recently stolen laptops.",0,1,1,0,0,0,1,0,0.0,812.0,0.0,1.0,0.0,0.0,0.0,1.0
2013,AHMC Healthcare INC and affiliated Hospitals,CA,Theft,Laptop,"March 13, 2014 - About 729,000 patients’ data may have been compromised because two password-protected laptops with their data were stolen on October 12 from AHMC Healthcare Inc.’s administrative offices.
 
 Editor’s note: There has been an update to this story. Christopher Lee Brown was sentenced to 4 years and 8 months in prison on charges of second-degree burglary and receiving stolen property, according to the Pasadena Star News. Surveillance footage was used by Alhambra police to identify Brown and he was arrested on October 23.
 
 The Los Angeles Times reports that the breach affected patients under Medicare who received care at the six hospitals owned by AHMC Healthcare Inc. Affected AHMC patients were treated at Garfield Medical Center, Monterey Park Hospital, Greater El Monte Community Hospital, Whittier Hospital Medical Center, San Gabriel Valley Medical Center and Anaheim Regional Medical Center.
 
 About 10 percent of Medicare patients had their Social Security numbers compromised, while the laptops also included patient names, Medicare/insurance identification numbers, diagnosis/procedure codes, and insurance/patient payments. The laptops had been guarded and gated by a security team with video surveillance, but the thieves broke into the office and stole the laptops.
 Meaningful use security considerations for a healthcare CISO
 Healthcare Cybersecurity Measures Must Evolve for Success
 A healthcare vendor contract’s required security policies
 
 AHMC Healthcare Inc. learned of the breach on October 14 and though it doesn’t believe that any information had been accessed inappropriately, it didn’t rule out the possibility of foul play with the data.
 
 The Times also reports that AHMC had already asked an auditing firm to perform a security risk assessment. And it will finally accomplish what it should have been doing already by expediting an encryption policy for all laptops. “We regret any inconvenience or concern this incident may cause our patients,” it said in the statement.
 
 Editor’s Note: HealthITSecurity.com has corrected a previous version that stated the breach occurred at Alhambra Hospital Medical Center. Alhambra Hospital Medical Center was not affected by this incident, only the six AHMC Healthcare Inc. hospitals.",0,1,0,0,0,0,1,0,11.0,729000.0,0.0,1.0,0.0,0.0,0.0,1.0
2006,Akron Children's Hospital,OH,HACK,Other,"Hackers broke into the systems of an Ohio hospital last month raising fears that the personal details of up to 230,000 patients or their family members, and banking information on around 12,000 financial donors, might have been compromised.
 
 News of the attack came after Akron Children's Hospital began notifying families last week, around seven weeks after the security breach was identified.
 
 The attack came as the hospital upgraded its systems. It's unclear whether or not data obtained by the hackers was subsequently abused to conduct ID theft or other scams.
 
 In a statement on the attack, the hospital said external security consultants ""have found no evidence that any specific data was downloaded, tampered with, or compromised; however, the opportunity to view the data existed"".
 
 The breach was discovered on 6 September but hospital officials failed to contact FBI investigators until 20 October, according to US reports. Security consultants initially told the hospital that the breach wasn't significant and it wasn't until the full scale of the problem became apparent that the Feds were called. Notification to potential victims didn't begin until another expert compiled a list of possible marks.
 
 The hospital said it had beefed up its security defences to guard against future attacks.
 
 The attack is the latest of a series of attacks against US organisations that have exposed people's personal or financial information over the last two years. According to the Identity Theft Resource Centre, there were 151 such incidents across the US last year, potentially exposing the details of more than 57.7m people. ®",1,0,0,0,0,1,0,0,44.0,242000.0,0.0,1.0,0.0,0.0,0.0,0.0
2009,Akron Children's Hospital,OH,HACK,Other,"If you ever had the urge to download one of those software programs that lets you spy on someone else's computer, consider first the case of
 
 Scott Graham of Avon Lake.
 
 Early last year, Graham, a cardiac surgical technician at University Hospitals in Cleveland, wanted to sneak a peek at the online activity of a woman he knew.
 
 So he sent an e-mail to her personal Yahoo! account with an attachment that would unleash spyware when opened.
 
 The spyware, legally purchased on the Internet, was designed to capture e-mails and screen shots from the infected computer and forward them to a stealth e-mail account Graham could peruse without anyone knowing.
 
 But Graham got more than he expected when the woman, an employee of Akron Children's Hospital, opened the e-mail attachment on her work computer instead of her personal computer as Graham had figured.
 
 Graham was soon receiving hospital files, including more than 1,000 screen views, most containing confidential information about medical procedures and diagnostic notes for specific patients. He also received personal e-mail and financial records of four hospital employees.
 
 The surreptitious flow of information went on for nearly three weeks before complaints of slow-acting computers led hospital personnel to discover the spyware, hospital officials said.
 
 The FBI was contacted and Graham ultimately pleaded guilty to a felony, intercepting electronic communications, in U.S. District Court. He faces possible prison time when sentenced early next year, although probation is also possible.
 
 Graham's case raises questions. How could a hospital's security be breached with a legal product? And how many other people might be trying something similar?
 
 Most institutions like hospitals and schools have tools in place to protect their computers from viruses and other malicious software. At the time of the breach, Akron Children's Hospital was doing a systemwide upgrade that included installation of a firewall on all workstations that would have kicked out the spyware, hospital executive Shawn Lyden said.
 
 The firewall was installed but had not yet been activated on the two computers used to open Graham's e-mail attachment, Lyden said.
 
 ""As a result of this, it was activated immediately,"" he said.
 
 Lyden said none of the files received by Graham were used to compromise patient privacy. ""Clearly, Graham had no intention of accessing hospital information,"" he said.
 
 Attorney Ian Friedman said his client sent the e-mail to investigate allegations the woman had made about certain doctors and professionals in their industry. Court documents describe the woman as someone who had a previous relationship with Graham, but they do not offer additional details.
 
 Friedman thinks a lot of people may be operating under the false assumption that using legally purchased spyware in the way Graham did is OK.
 
 ""This case may be a sign of more to come,"" Friedman said, ""but to date this has not been a common prosecution.""
 
 Spyware that runs on Microsoft Windows operating systems has been around for nearly two decades, with 10 to 20 companies still developing it in the United States, said Eric Howes, director of research services at Sunbelt Software, a Florida producer of anti-spyware and anti-virus software protection.
 
 Graham purchased his spyware from SpyTech Software and Design Inc. of Red Wing, Minn.
 
 The company's Web site states its products are legal as long as those buying the software install it on a computer they own.
 
 SpyTech founder Nathan Polencheck said he helped the FBI catch Graham after being contacted last spring. The vast majority of people who buy the company's software use it legally, including parents keeping track of their children's computer habits and employers worried about improper Internet browsing on company time, Polencheck said.
 
 Howes believes that might be an exaggeration, ""but the bottom line is no one really knows,"" he said.
 
 While SpyTech software has legitimate uses, a product that can be installed remotely and without a target's knowledge lends itself to unlawful uses, he said.
 
 But there's plenty of blame to go around, he said. While Akron Children's Hospital had the proper protective software on its computers, it doesn't do any good unless it's turned on.
 
 ""Lesson to be learned there: Don't have gaps in coverage,"" Howes said.
 
 He also faults Graham's victim for opening the attachment.
 
 It's been nearly a decade since the infamous ""I Love You"" computer virus, he said, and ""we still have users blindly clicking attachments that they don't know what it is.""
 
 He said even something sent from a legitimate e-mail address could have been maliciously sent by somebody else.
 
 The e-mail attachment sent by Graham was labeled ""InCaseYouHadDoubts.zip."" It was empty except for the undetectable spyware, Lyden said. It infected a second computer after the woman tried to open the attachment on that machine, too.
 
 Lyden said the hospital has made it ""crystal clear"" since the incident that employees are not to access personal e-mails at work. The hospital spent $33,000 to hire a company to investigate the breach.
 
 Polencheck said that since the Graham case he has enhanced one of his products, Realtime-Spy, so a message box pops up on the target's computer when it's being installed.
 
 ""Now the user has to confirm the installation so you can't do it sneakily anymore,"" he said.
 
 But there are plenty of other spyware products out there for computer users to be concerned about. And for every fix that's created, a pathway around it is designed, which means computer users must be diligent about keeping their virus and spyware protection updated.
 
 ""We are processing several gigabytes of new malicious software every day,"" Howes said. ""That's how fast this stuff is coming out.""",1,0,1,1,0,0,0,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007,Albany Medical Center,NY,PORT,Other,Couldn’t find information,0,1,0,0,0,0,1,0,0.0,12000.0,0.0,1.0,0.0,0.0,0.0,0.0
2010,Albert Einstein Healthcare Network,PA,PHYS,Other,"The Albert Einstein Healthcare Network in Pennsylvania reported that 613 patients had protected health information on a desktop computer that was stolen on October 21. No statement appears on the hospital’s web site at the time of this posting, nor can I find any media coverage via a Google search.",0,1,0,0,0,0,1,0,0.0,613.0,0.0,1.0,0.0,0.0,0.0,0.0
